
# Sources Go API

| Package | Function Signature |
| syscall | ConvertSidToStringSid(\*SID,  \*\*uint16) error |
| syscall | PostQueuedCompletionStatus(Handle,  uint32,  uint32,  \*Overlapped) error |
| syscall | Fchownat(int,  string,  int,  int,  int) error |
| syscall | CertFreeCertificateContext(\*CertContext) error |
| syscall | Ioperm(int,  int,  int) error |
| syscall | Pipe([]int) error |
| syscall | RegCloseKey(Handle) error |
| syscall | ReadDirent(int,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | FindFirstFile(\*uint16,  \*Win32finddata) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Syscall(uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | Setsid() int,  errorint,  error(int,  errorint,  error) |
| syscall | CreateDirectory(\*uint16,  \*SecurityAttributes) error |
| syscall | Getpgrp() int |
| syscall | Pipe([]Handle) error |
| syscall | Sendto(int,  []uint8,  int,  Sockaddr) error |
| syscall | Pathconf(string,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | NsecToTimeval(int64) Timeval |
| syscall | BpfJump(int,  int,  int,  int) \*BpfInsn |
| syscall | ConvertStringSidToSid(\*uint16,  \*\*SID) error |
| syscall | StringToUTF16Ptr(string) \*uint16 |
| syscall | StringByteSlice(string) []uint8 |
| syscall | Recvfrom(Handle,  []uint8,  int) int,  Sockaddr,  errorint,  Sockaddr,  error(int,  Sockaddr,  errorint,  Sockaddr,  error) |
| syscall | GetsockoptInt(int,  int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | CertCloseStore(Handle,  uint32) error |
| syscall | Getpgid(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Flock(int,  int) error |
| syscall | FindNextFile(Handle,  \*Win32finddata) error |
| syscall | GetTimeZoneInformation(\*Timezoneinformation) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Environ() []string |
| syscall | WSAIoctl(Handle,  uint32,  \*uint8,  uint32,  \*uint8,  uint32,  \*uint32,  \*Overlapped,  uintptr) error |
| syscall | Access(string,  uint32) error |
| syscall | Listen(int,  int) error |
| syscall | Socketpair(int,  int,  int) [2]int,  error[2]int,  error([2]int,  error[2]int,  error) |
| syscall | SetsockoptInt(int,  int,  int,  int) error |
| syscall | RegQueryValueEx(Handle,  \*uint16,  \*uint32,  \*uint32,  \*uint8,  \*uint32) error |
| syscall | Fchdir(int) error |
| syscall | Gettimeofday(\*Timeval) error |
| syscall | GetTokenInformation(Token,  uint32,  \*uint8,  uint32,  \*uint32) error |
| syscall | OpenProcess(uint32,  bool,  uint32) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | SetsockoptTimeval(Handle,  int,  int,  \*Timeval) error |
| syscall | CopySid(uint32,  \*SID,  \*SID) error |
| syscall | GetQueuedCompletionStatus(Handle,  \*uint32,  \*uint32,  \*\*Overlapped,  uint32) error |
| syscall | WSASendto(Handle,  \*WSABuf,  uint32,  \*uint32,  uint32,  Sockaddr,  \*Overlapped,  \*uint8) error |
| syscall | PtracePokeData(int,  uintptr,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | LsfSocket(int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Klogctl(int,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getpeername(int) Sockaddr,  errorSockaddr,  error(Sockaddr,  errorSockaddr,  error) |
| syscall | Kill(int,  Signal) error |
| syscall | SetBpfImmediate(int,  int) error |
| syscall | Read(int,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | NewCallback(interface{}) uintptr |
| syscall | Setreuid(int,  int) error |
| syscall | NetUserGetInfo(\*uint16,  \*uint16,  uint32,  \*\*uint8) error |
| syscall | Shutdown(Handle,  int) error |
| syscall | GetUserNameEx(uint32,  \*uint16,  \*uint32) error |
| syscall | Open(string,  int,  uint32) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getrlimit(int,  \*Rlimit) error |
| syscall | ParseUnixRights(\*SocketControlMessage) []int,  error[]int,  error([]int,  error[]int,  error) |
| syscall | Wait4(int,  \*WaitStatus,  int,  \*Rusage) int,  errorint,  error(int,  errorint,  error) |
| syscall | Undelete(string) error |
| syscall | FlushFileBuffers(Handle) error |
| syscall | Syscall6(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | SetsockoptString(int,  int,  int,  string) error |
| syscall | Chflags(string,  int) error |
| syscall | CreatePipe(\*Handle,  \*Handle,  \*SecurityAttributes,  uint32) error |
| syscall | Close(int) error |
| syscall | RouteRIB(int,  int) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| syscall | SetBpf(int,  []BpfInsn) error |
| syscall | PtraceSetOptions(int,  int) error |
| syscall | Socket(int,  int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | MoveFile(\*uint16,  \*uint16) error |
| syscall | TimevalToNsec(Timeval) int64 |
| syscall | Getrusage(int,  \*Rusage) error |
| syscall | Tgkill(int,  int,  Signal) error |
| syscall | SetBpfDatalink(int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getwd() string,  errorstring,  error(string,  errorstring,  error) |
| syscall | Setregid(int,  int) error |
| syscall | SetCurrentDirectory(\*uint16) error |
| syscall | PivotRoot(string,  string) error |
| syscall | CreateIoCompletionPort(Handle,  Handle,  uint32,  uint32) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | SetsockoptInet4Addr(Handle,  int,  int,  [4]uint8) error |
| syscall | TranslateName(\*uint16,  uint32,  uint32,  \*uint16,  \*uint32) error |
| syscall | Chmod(string,  uint32) error |
| syscall | UTF16ToString([]uint16) string |
| syscall | DuplicateHandle(Handle,  Handle,  Handle,  \*Handle,  uint32,  bool,  uint32) error |
| syscall | Setfsgid(int) error |
| syscall | SetsockoptLinger(int,  int,  int,  \*Linger) error |
| syscall | LoadLibrary(string) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Ustat(int,  \*Ustat_t) error |
| syscall | AttachLsf(int,  []SockFilter) error |
| syscall | Fsync(Handle) error |
| syscall | GetFullPathName(\*uint16,  uint32,  \*uint16,  \*\*uint16) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | SyncFileRange(int,  int64,  int64,  int) error |
| syscall | Ftruncate(int,  int64) error |
| syscall | CertAddCertificateContextToStore(Handle,  \*CertContext,  uint32,  \*\*CertContext) error |
| syscall | Mkfifo(string,  uint32) error |
| syscall | GetCurrentProcess() Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | GetFileType(Handle) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | GetProcAddress(Handle,  string) uintptr,  erroruintptr,  error(uintptr,  erroruintptr,  error) |
| syscall | SetsockoptByte(int,  int,  int,  uint8) error |
| syscall | Mlockall(int) error |
| syscall | Syscall6(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | GetFileAttributes(\*uint16) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Issetugid() bool |
| syscall | Getpriority(int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | FreeEnvironmentStrings(\*uint16) error |
| syscall | Dup(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | LocalFree(Handle) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Renameat(int,  string,  int,  string) error |
| syscall | NsecToFiletime(int64) Filetime |
| syscall | Syscall9(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | GetTempPath(uint32,  \*uint16) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Chdir(string) error |
| syscall | GetProtoByName(string) \*Protoent,  error\*Protoent,  error(\*Protoent,  error\*Protoent,  error) |
| syscall | Creat(string,  uint32) int,  errorint,  error(int,  errorint,  error) |
| syscall | Munlock([]uint8) error |
| syscall | GetAdaptersInfo(\*IpAdapterInfo,  \*uint32) error |
| syscall | CreateProcess(\*uint16,  \*uint16,  \*SecurityAttributes,  \*SecurityAttributes,  bool,  uint32,  \*uint16,  \*uint16,  \*StartupInfo,  \*ProcessInformation) error |
| syscall | WSASendTo(Handle,  \*WSABuf,  uint32,  \*uint32,  uint32,  \*RawSockaddrAny,  int32,  \*Overlapped,  \*uint8) error |
| syscall | GetEnvironmentStrings() \*uint16,  error\*uint16,  error(\*uint16,  error\*uint16,  error) |
| syscall | Seteuid(int) error |
| syscall | WSARecvFrom(Handle,  \*WSABuf,  uint32,  \*uint32,  \*uint32,  \*RawSockaddrAny,  \*int32,  \*Overlapped,  \*uint8) error |
| syscall | Gettid() int |
| syscall | Socket(int,  int,  int) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Unlink(string) error |
| syscall | LoadDLL(string) \*DLL,  error\*DLL,  error(\*DLL,  error\*DLL,  error) |
| syscall | Accept(Handle) Handle,  Sockaddr,  errorHandle,  Sockaddr,  error(Handle,  Sockaddr,  errorHandle,  Sockaddr,  error) |
| syscall | TimespecToNsec(Timespec) int64 |
| syscall | SetsockoptIPMreq(int,  int,  int,  \*IPMreq) error |
| syscall | Bind(int,  Sockaddr) error |
| syscall | GetIfEntry(\*MibIfRow) error |
| syscall | CryptAcquireContext(\*Handle,  \*uint16,  \*uint16,  uint32,  uint32) error |
| syscall | Sendfile(int,  int,  \*int64,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | OpenCurrentProcessToken() Token,  errorToken,  error(Token,  errorToken,  error) |
| syscall | FlushViewOfFile(uintptr,  uintptr) error |
| syscall | GetsockoptIPMreqn(int,  int,  int) \*IPMreqn,  error\*IPMreqn,  error(\*IPMreqn,  error\*IPMreqn,  error) |
| syscall | Truncate(string,  int64) error |
| syscall | Setpriority(int,  int,  int) error |
| syscall | GetExitCodeProcess(Handle,  \*uint32) error |
| syscall | GetLongPathName(\*uint16,  \*uint16,  uint32) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Recvfrom(int,  []uint8,  int) int,  Sockaddr,  errorint,  Sockaddr,  error(int,  Sockaddr,  errorint,  Sockaddr,  error) |
| syscall | Sethostname([]uint8) error |
| syscall | SetNonblock(Handle,  bool) error |
| syscall | SetHandleInformation(Handle,  uint32,  uint32) error |
| syscall | Pipe2([]int,  int) error |
| syscall | CryptGenRandom(Handle,  uint32,  \*uint8) error |
| syscall | Unlinkat(int,  string) error |
| syscall | Mkdirat(int,  string,  uint32) error |
| syscall | Madvise([]uint8,  int) error |
| syscall | SetEnvironmentVariable(\*uint16,  \*uint16) error |
| syscall | Setresgid(int,  int,  int) error |
| syscall | GetHostByName(string) \*Hostent,  error\*Hostent,  error(\*Hostent,  error\*Hostent,  error) |
| syscall | PtraceSingleStep(int) error |
| syscall | UnixCredentials(\*Ucred) []uint8 |
| syscall | GetsockoptIPMreq(int,  int,  int) \*IPMreq,  error\*IPMreq,  error(\*IPMreq,  error\*IPMreq,  error) |
| syscall | Adjtime(\*Timeval,  \*Timeval) error |
| syscall | Iopl(int) error |
| syscall | Exec(string,  []string,  []string) error |
| syscall | RegQueryInfoKey(Handle,  \*uint16,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*uint32,  \*Filetime) error |
| syscall | Fchown(int,  int,  int) error |
| syscall | Kqueue() int,  errorint,  error(int,  errorint,  error) |
| syscall | Lchown(string,  int,  int) error |
| syscall | EpollWait(int,  []EpollEvent,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | StringToUTF16(string) []uint16 |
| syscall | DetachLsf(int) error |
| syscall | Setpgid(int,  int) error |
| syscall | Getenv(string) string,  boolstring,  bool(string,  boolstring,  bool) |
| syscall | CmsgLen(int) int |
| syscall | StringBytePtr(string) \*uint8 |
| syscall | Getegid() int |
| syscall | Select(int,  \*FdSet,  \*FdSet,  \*FdSet,  \*Timeval) error |
| syscall | Getfsstat([]Statfs_t,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | GetLastError() error |
| syscall | Uname(\*Utsname) error |
| syscall | EpollCreate(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getuid() int |
| syscall | BpfTimeout(int) \*Timeval,  error\*Timeval,  error(\*Timeval,  error\*Timeval,  error) |
| syscall | CreateFile(\*uint16,  uint32,  uint32,  \*SecurityAttributes,  uint32,  uint32,  int32) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Mkdir(string,  uint32) error |
| syscall | Connect(int,  Sockaddr) error |
| syscall | Syscall15(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | GetsockoptInet4Addr(int,  int,  int) [4]uint8,  error[4]uint8,  error([4]uint8,  error[4]uint8,  error) |
| syscall | Faccessat(int,  string,  uint32,  int) error |
| syscall | Acct(string) error |
| syscall | CertOpenStore(uintptr,  uint32,  uintptr,  uint32,  uintptr) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | GetServByName(string,  string) \*Servent,  error\*Servent,  error(\*Servent,  error\*Servent,  error) |
| syscall | Pread(int,  []uint8,  int64) int,  errorint,  error(int,  errorint,  error) |
| syscall | CreateFileMapping(Handle,  \*SecurityAttributes,  uint32,  uint32,  uint32,  \*uint16) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | ParseRoutingSockaddr(RoutingMessage) []Sockaddr,  error[]Sockaddr,  error([]Sockaddr,  error[]Sockaddr,  error) |
| syscall | Sysinfo(\*Sysinfo_t) error |
| syscall | Splice(int,  \*int64,  int,  \*int64,  int,  int) int64,  errorint64,  error(int64,  errorint64,  error) |
| syscall | Fchmod(Handle,  uint32) error |
| syscall | Setdomainname([]uint8) error |
| syscall | Close(Handle) error |
| syscall | ReadFile(Handle,  []uint8,  \*uint32,  \*Overlapped) error |
| syscall | FlushBpf(int) error |
| syscall | CertCreateCertificateContext(uint32,  \*uint8,  uint32) \*CertContext,  error\*CertContext,  error(\*CertContext,  error\*CertContext,  error) |
| syscall | Write(int,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | NewLazyDLL(string) \*LazyDLL |
| syscall | Fpathconf(int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Mount(string,  string,  string,  uintptr,  string) error |
| syscall | Stat(string,  \*Stat_t) error |
| syscall | MapViewOfFile(Handle,  uint32,  uint32,  uint32,  uintptr) uintptr,  erroruintptr,  error(uintptr,  erroruintptr,  error) |
| syscall | Getsid(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | BpfHeadercmpl(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Times(\*Tms) uintptr,  erroruintptr,  error(uintptr,  erroruintptr,  error) |
| syscall | Openat(int,  string,  int,  uint32) int,  errorint,  error(int,  errorint,  error) |
| syscall | Setenv(string,  string) error |
| syscall | BpfInterface(int,  string) string,  errorstring,  error(string,  errorstring,  error) |
| syscall | ParseUnixCredentials(\*SocketControlMessage) \*Ucred,  error\*Ucred,  error(\*Ucred,  error\*Ucred,  error) |
| syscall | Syscall(uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | InotifyInit() int,  errorint,  error(int,  errorint,  error) |
| syscall | Chown(string,  int,  int) error |
| syscall | SetBpfPromisc(int,  int) error |
| syscall | GetUserProfileDirectory(Token,  \*uint16,  \*uint32) error |
| syscall | UnmapViewOfFile(uintptr) error |
| syscall | CertGetCertificateChain(Handle,  \*CertContext,  \*Filetime,  Handle,  \*CertChainPara,  uint32,  uintptr,  \*\*CertChainContext) error |
| syscall | GetVersion() uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | NsecToTimespec(int64) Timespec |
| syscall | StringSlicePtr([]string) []\*uint8 |
| syscall | RemoveDirectory(\*uint16) error |
| syscall | Recvmsg(int,  []uint8,  []uint8,  int) int,  int,  int,  Sockaddr,  errorint,  int,  int,  Sockaddr,  error(int,  int,  int,  Sockaddr,  errorint,  int,  int,  Sockaddr,  error) |
| syscall | Futimes(int,  []Timeval) error |
| syscall | Lstat(string,  \*Stat_t) error |
| syscall | Fchflags(string,  int) error |
| syscall | TerminateProcess(Handle,  uint32) error |
| syscall | StringToSid(string) \*SID,  error\*SID,  error(\*SID,  error\*SID,  error) |
| syscall | BpfStmt(int,  int) \*BpfInsn |
| syscall | Link(string,  string) error |
| syscall | Time(\*Time_t) Time_t,  errorTime_t,  error(Time_t,  errorTime_t,  error) |
| syscall | Getdtablesize() int |
| syscall | CheckBpfVersion(int) error |
| syscall | GetCommandLine() \*uint16 |
| syscall | NetlinkRIB(int,  int) []uint8,  error[]uint8,  error([]uint8,  error[]uint8,  error) |
| syscall | GetComputerName(\*uint16,  \*uint32) error |
| syscall | Open(string,  int,  uint32) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Settimeofday(\*Timeval) error |
| syscall | ParseNetlinkRouteAttr(\*NetlinkMessage) []NetlinkRouteAttr,  error[]NetlinkRouteAttr,  error([]NetlinkRouteAttr,  error[]NetlinkRouteAttr,  error) |
| syscall | Setegid(int) error |
| syscall | SetsockoptLinger(Handle,  int,  int,  \*Linger) error |
| syscall | TranslateAccountName(string,  uint32,  uint32,  int) string,  errorstring,  error(string,  errorstring,  error) |
| syscall | Rename(string,  string) error |
| syscall | SetEndOfFile(Handle) error |
| syscall | SetsockoptInt(Handle,  int,  int,  int) error |
| syscall | Fdatasync(int) error |
| syscall | Mknodat(int,  string,  uint32,  int) error |
| syscall | Munlockall() error |
| syscall | SetsockoptIPMreqn(int,  int,  int,  \*IPMreqn) error |
| syscall | Pwrite(int,  []uint8,  int64) int,  errorint,  error(int,  errorint,  error) |
| syscall | LsfStmt(int,  int) \*SockFilter |
| syscall | SetFilePointer(Handle,  int32,  \*int32,  uint32) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Umask(int) int |
| syscall | Fchown(Handle,  int,  int) error |
| syscall | PtraceSetRegs(int,  \*PtraceRegs) error |
| syscall | Read(Handle,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | PtracePeekText(int,  uintptr,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | Chroot(string) error |
| syscall | PtraceAttach(int) error |
| syscall | Seek(int,  int64,  int) int64,  errorint64,  error(int64,  errorint64,  error) |
| syscall | GetsockoptIPv6Mreq(int,  int,  int) \*IPv6Mreq,  error\*IPv6Mreq,  error(\*IPv6Mreq,  error\*IPv6Mreq,  error) |
| syscall | Shutdown(int,  int) error |
| syscall | Sendto(Handle,  []uint8,  int,  Sockaddr) error |
| syscall | Unshare(int) error |
| syscall | GetShortPathName(\*uint16,  \*uint16,  uint32) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | LookupSID(string,  string) \*SID,  string,  uint32,  error\*SID,  string,  uint32,  error(\*SID,  string,  uint32,  error\*SID,  string,  uint32,  error) |
| syscall | EpollCtl(int,  int,  int,  \*EpollEvent) error |
| syscall | Utimes(string,  []Timeval) error |
| syscall | Nanosleep(\*Timespec,  \*Timespec) error |
| syscall | PtraceGetRegs(int,  \*PtraceRegs) error |
| syscall | TransmitFile(Handle,  Handle,  uint32,  uint32,  \*Overlapped,  \*TransmitFileBuffers,  uint32) error |
| syscall | EpollCreate1(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Listen(Handle,  int) error |
| syscall | WSARecv(Handle,  \*WSABuf,  uint32,  \*uint32,  \*uint32,  \*Overlapped,  \*uint8) error |
| syscall | BpfStats(int) \*BpfStat,  error\*BpfStat,  error(\*BpfStat,  error\*BpfStat,  error) |
| syscall | Fchmodat(int,  string,  uint32,  int) error |
| syscall | Reboot(int) error |
| syscall | PtraceDetach(int) error |
| syscall | BpfDatalink(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | GetProcessTimes(Handle,  \*Filetime,  \*Filetime,  \*Filetime,  \*Filetime) error |
| syscall | PtracePokeText(int,  uintptr,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | Setrlimit(int,  \*Rlimit) error |
| syscall | Setgid(int) error |
| syscall | InotifyRmWatch(int,  uint32) int,  errorint,  error(int,  errorint,  error) |
| syscall | Syscall12(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | Setuid(int) error |
| syscall | ParseNetlinkMessage([]uint8) []NetlinkMessage,  error[]NetlinkMessage,  error([]NetlinkMessage,  error[]NetlinkMessage,  error) |
| syscall | DeleteFile(\*uint16) error |
| syscall | StartProcess(string,  []string,  \*ProcAttr) int,  uintptr,  errorint,  uintptr,  error(int,  uintptr,  errorint,  uintptr,  error) |
| syscall | Dup2(int,  int) error |
| syscall | UnixRights(...int) []uint8 |
| syscall | Getsockname(int) Sockaddr,  errorSockaddr,  error(Sockaddr,  errorSockaddr,  error) |
| syscall | NetApiBufferFree(\*uint8) error |
| syscall | GetFileAttributesEx(\*uint16,  uint32,  \*uint8) error |
| syscall | WSAStartup(uint32,  \*WSAData) error |
| syscall | CommandLineToArgv(\*uint16,  \*int32) \*[8192]\*[8192]uint16,  error\*[8192]\*[8192]uint16,  error(\*[8192]\*[8192]uint16,  error\*[8192]\*[8192]uint16,  error) |
| syscall | VirtualUnlock(uintptr,  uintptr) error |
| syscall | ComputerName() string,  errorstring,  error(string,  errorstring,  error) |
| syscall | ParseSocketControlMessage([]uint8) []SocketControlMessage,  error[]SocketControlMessage,  error([]SocketControlMessage,  error[]SocketControlMessage,  error) |
| syscall | Readlink(string,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | SetLsfPromisc(string,  bool) error |
| syscall | Getpid() int |
| syscall | GetStdHandle(int) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | Setgroups([]int) error |
| syscall | ForkExec(string,  []string,  \*ProcAttr) int,  errorint,  error(int,  errorint,  error) |
| syscall | MustLoadDLL(string) \*DLL |
| syscall | Rmdir(string) error |
| syscall | WSASend(Handle,  \*WSABuf,  uint32,  \*uint32,  uint32,  \*Overlapped,  \*uint8) error |
| syscall | Setsockopt(Handle,  int32,  int32,  \*uint8,  int32) error |
| syscall | Symlink(string,  string) error |
| syscall | Mknod(string,  uint32,  int) error |
| syscall | Mlock([]uint8) error |
| syscall | Getdents(int,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | VirtualLock(uintptr,  uintptr) error |
| syscall | Exchangedata(string,  string,  int) error |
| syscall | Ftruncate(Handle,  int64) error |
| syscall | WaitForSingleObject(Handle,  uint32) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Getpagesize() int |
| syscall | BpfBuflen(int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Revoke(string) error |
| syscall | CertOpenSystemStore(Handle,  \*uint16) Handle,  errorHandle,  error(Handle,  errorHandle,  error) |
| syscall | PtraceGetEventMsg(int) uint,  erroruint,  error(uint,  erroruint,  error) |
| syscall | AcceptEx(Handle,  Handle,  \*uint8,  uint32,  uint32,  uint32,  \*uint32,  \*Overlapped) error |
| syscall | Getgroups() []int,  error[]int,  error([]int,  error[]int,  error) |
| syscall | PtracePeekData(int,  uintptr,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | GetsockoptInt(Handle,  int,  int) int,  errorint,  error(int,  errorint,  error) |
| syscall | Bind(Handle,  Sockaddr) error |
| syscall | CertEnumCertificatesInStore(Handle,  \*CertContext) \*CertContext,  error\*CertContext,  error(\*CertContext,  error\*CertContext,  error) |
| syscall | Syscall9(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | Pause() error |
| syscall | Unmount(string,  int) error |
| syscall | SetBpfHeadercmpl(int,  int) error |
| syscall | Ntohs(uint16) uint16 |
| syscall | Getcwd([]uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | Sysctl(string) string,  errorstring,  error(string,  errorstring,  error) |
| syscall | ParseDirent([]uint8,  int,  []string) int,  int,  []stringint,  int,  []string(int,  int,  []stringint,  int,  []string) |
| syscall | Utime(string,  \*Utimbuf) error |
| syscall | ParseRoutingMessage([]uint8) []RoutingMessage,  error[]RoutingMessage,  error([]RoutingMessage,  error[]RoutingMessage,  error) |
| syscall | Futimesat(int,  string,  []Timeval) error |
| syscall | SetsockoptInet4Addr(int,  int,  int,  [4]uint8) error |
| syscall | CmsgSpace(int) int |
